Department_Code,Department,Indicator,Strategic_Objective,Method,Year,Forecast_Achieved,Gender,Disabled,Education_Level,WaSH_Intervention,Nutrition_Intensity,Results
1001,"Africa Regional Department, DFID Southern Africa",Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2013/14,Achieved,Total,No,N/A,N/A,N/A,65832
1001,"Africa Regional Department, DFID Southern Africa",Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2014/15,Achieved,Total,No,N/A,N/A,N/A,107500
1001,"Africa Regional Department, DFID Southern Africa",Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2015/16,Achieved,Total,No,N/A,N/A,N/A,136815
1001,"Africa Regional Department, DFID Southern Africa",Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2016/17,Achieved,Total,No,N/A,N/A,N/A,628513
1001,"Africa Regional Department, DFID Southern Africa",Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2017/18,Achieved,Total,No,N/A,N/A,N/A,1257659
1001,"Africa Regional Department, DFID Southern Africa",Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2018/19,Achieved,Total,No,N/A,N/A,N/A,542093
1001,"Africa Regional Department, DFID Southern Africa",Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2019/20,Achieved,Total,No,N/A,N/A,N/A,1290409.6638741891
1001,"Africa Regional Department, DFID Southern Africa",Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2020/21,Achieved,Total,No,N/A,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2015/21,Achieved,Total,No,N/A,N/A,N/A,4028821.6638741894
1001,"Africa Regional Department, DFID Southern Africa",Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2013/14,Achieved,Total,No,N/A,N/A,N/A,65832
1001,"Africa Regional Department, DFID Southern Africa",Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2014/15,Achieved,Total,No,N/A,N/A,N/A,107500
1001,"Africa Regional Department, DFID Southern Africa",Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2015/16,Achieved,Total,No,N/A,N/A,N/A,741594
1001,"Africa Regional Department, DFID Southern Africa",Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2016/17,Achieved,Total,No,N/A,N/A,N/A,2751574
1001,"Africa Regional Department, DFID Southern Africa",Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2017/18,Achieved,Total,No,N/A,N/A,N/A,4512056
1001,"Africa Regional Department, DFID Southern Africa",Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2018/19,Achieved,Total,No,N/A,N/A,N/A,3286860
1001,"Africa Regional Department, DFID Southern Africa",Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2019/20,Achieved,Total,No,N/A,N/A,N/A,3302246.428675236
1001,"Africa Regional Department, DFID Southern Africa",Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2020/21,Achieved,Total,No,N/A,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Male,No,All,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Female,No,All,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Unknown,No,All,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Total,No,All,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Male,Yes,All,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Female,Yes,All,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Unknown,Yes,All,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Total,Yes,All,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Male,No,Pre-primary,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Female,No,Pre-primary,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Unknown,No,Pre-primary,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Total,No,Pre-primary,N/A,N/A,0
