dept,2019/20,2018/19,2017/18,2016/17,2015/16,continuous
DRC,DRC,DRC,DRC,DRC,DRC,DRC
Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia
Ghana,Ghana,Ghana,Ghana,Ghana,,
Kenya,Kenya,Kenya,Kenya,Kenya,,Kenya
Malawi,,Malawi,Malawi,Malawi,Malawi,Malawi
Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique
Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria
Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone
Somalia,Somalia,Somalia,,,,
South Sudan,,,South Sudan,South Sudan,South Sudan,South Sudan
Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan
Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania
Uganda,,Uganda,Uganda,Uganda,Uganda,Uganda
Zambia,,Zambia,Zambia,Zambia,Zambia,Zambia
Zimbabwe,,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
,,South Africa,South Africa,,,
Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Bangladesh,Bangladesh,Bangladesh,,Bangladesh,Bangladesh,
Burma,Burma,Burma,Burma,Burma,Burma,Burma
Central Asia,Tajikistan,Tajikistan,Tajikistan,Tajikistan,Tajikistan,Tajikistan
,,,,Kyrgyzstan,Kyrgyzstan,
India,,India,India,India,,India
Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal
Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan
Caribbean,Belize,Belize,Belize,Belize,Belize,Belize
,Dominica,Dominica,Dominica,Dominica,Dominica,Dominica
,Grenada,Grenada,Grenada,Grenada,Grenada,Grenada
,Guyana,Guyana,Guyana,Guyana,Guyana,Guyana
,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica
,Suriname,Suriname,Suriname,Suriname,Suriname,Suriname
,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia
,St Vincent & the Grenadines,St Vincent & the Grenadines,St Vincent & the Grenadines,St Vincent & the Grenadines,St Vincent & the Grenadines,St Vincent & the Grenadines
,Haiti,Haiti,Haiti,Haiti,Haiti,Haiti
,Montserrat,Montserrat,Montserrat,Montserrat,Montserrat,Montserrat
GOSAC,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho
,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar
,Swaziland,Swaziland,Swaziland,Swaziland,Swaziland,Swaziland
,Angola,Angola,Angola,Angola,Angola,Angola
,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius
,Comoros,Comoros,Comoros,Comoros,Comoros,Comoros
,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya
,,India,India,India,India,India
,Botswana,Botswana,Botswana,Botswana,Botswana,Botswana
,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia
,Malawi,,,,,
,Uganda,,,,,
,Zambia,,,,,
,Zimbabwe,,,,,
,South Africa,,,,,
