iso3c,Country,Fragility level
AFG,Afghanistan,Extremely Fragile
AGO,Angola,Fragile
BDI,Burundi,Extremely Fragile
BFA,Burkina Faso,Fragile
BGD,Bangladesh,Fragile
CAF,Central African Republic,Extremely Fragile
CIV,Côte D'Ivoire,Fragile
CMR,Cameroon,Fragile
COD,Democratic Republic of the Congo,Extremely Fragile
COG,Congo,Fragile
COM,Comoros,Fragile
DJI,Djibouti,Fragile
EGY,Egypt,Fragile
ERI,Eritrea,Extremely Fragile
ETH,Ethiopia,Extremely Fragile
GIN,Guinea,Fragile
GMB,Gambia,Fragile
GNB,Guinea-Bissau,Fragile
GNQ,Equatorial Guinea,Fragile
GTM,Guatemala,Fragile
HND,Honduras,Fragile
HTI,Haiti,Extremely Fragile
IRN,Iran,Fragile
IRQ,Iraq,Extremely Fragile
KEN,Kenya,Fragile
LAO,Lao People's Democratic Republic,Fragile
LBR,Liberia,Fragile
LBY,Libya,Fragile
MDG,Madagascar,Fragile
MLI,Mali,Extremely Fragile
MMR,Myanmar,Fragile
MOZ,Mozambique,Fragile
MRT,Mauritania,Fragile
MWI,Malawi,Fragile
NER,Niger,Fragile
NGA,Nigeria,Fragile
NPL,Nepal,Fragile
PAK,Pakistan,Fragile
PNG,Papua New Guinea,Fragile
PRK,Democratic People's Republic of Korea,Fragile
PSE,"Palestine, State of",Fragile
RWA,Rwanda,Fragile
SDN,Sudan,Extremely Fragile
SLB,Solomon Islands,Fragile
SLE,Sierra Leone,Fragile
SOM,Somalia,Extremely Fragile
SSD,South Sudan,Extremely Fragile
SWZ,Swaziland,Fragile
SYR,Syrian Arab Republic,Extremely Fragile
TCD,Chad,Extremely Fragile
TJK,Tajikistan,Fragile
TLS,Timor-Leste,Fragile
TZA,Tanzania,Fragile
UGA,Uganda,Fragile
VEN,Venezuela,Fragile
YEM,Yemen,Extremely Fragile
ZMB,Zambia,Fragile
ZWE,Zimbabwe,Fragile
